=== Block C ===
Expected rows: 19
Ledger rows: 0
SHIPPED: 0  PARTIAL: 0  MISSING: 0  DEFERRED: 0  DROPPED: 0  N/A: 0
Ledger missing: 19  Weak shipped evidence: 0  Unknown disposition: 0
Ship-blocking rows: C-1, C-2, C-3, C-4, C-5, C-6, C-7, C-8, C-9, C-10, C-11, C-12, C-13, C-14, C-15, C-16, C-17, C-18, C-19
Verdict: LEDGER_INCOMPLETE

| row_id | disposition | ship_blocking | evidence_problems | capability |
|---|---|---:|---|---|
| C-1 | LEDGER_MISSING | YES | row absent from block ledger | SecurityManager class explicit PORT_LOG row (V1 gap #8) |
| C-2 | LEDGER_MISSING | YES | row absent from block ledger | secretScanner.ts 25 NEW gitleaks patterns + redactSecrets() (R5 A1) |
| C-3 | LEDGER_MISSING | YES | row absent from block ledger | `findActualString` quote-normalized match (R1 #115) |
| C-4 | LEDGER_MISSING | YES | row absent from block ledger | `preserveQuoteStyle` (R1 #116) |
| C-5 | LEDGER_MISSING | YES | row absent from block ledger | UTF-16 LE BOM detection on edit (R1 #121) |
| C-6 | LEDGER_MISSING | YES | row absent from block ledger | UNC path skip on Windows (NTLM credential leak) (R1 #123) |
| C-7 | LEDGER_MISSING | YES | row absent from block ledger | `\r\n`→`\n` normalization preserving original on write (R1 #122) |
| C-8 | LEDGER_MISSING | YES | row absent from block ledger | Staleness check Windows content-fallback for OneDrive/AV mtime bumps (R1 #111) |
| C-9 | LEDGER_MISSING | YES | row absent from block ledger | `interpretCommandResult` exit-code semantics (R1 #49) |
| C-10 | LEDGER_MISSING | YES | row absent from block ledger | `getDestructiveCommandWarning` pattern catalog (R1 #50) |
| C-11 | LEDGER_MISSING | YES | row absent from block ledger | Cd+git compound bare-repo fsmonitor guard (R1 #53) |
| C-12 | LEDGER_MISSING | YES | row absent from block ledger | Multiple-cd detection (R1 #54) |
| C-13 | LEDGER_MISSING | YES | row absent from block ledger | Pipe-segment per-segment permission check (R1 #55) |
| C-14 | LEDGER_MISSING | YES | row absent from block ledger | `extractBashCommentLabel` first-line `# comment` UI label (R1 #48) |
| C-15 | LEDGER_MISSING | YES | row absent from block ledger | `BINARY_EXTENSIONS` set + `isBinaryContent` 8KB null-byte sniff (R8 #28) |
| C-16 | LEDGER_MISSING | YES | row absent from block ledger | `escapeXml` / `escapeXmlAttr` (R8 #26) |
| C-17 | LEDGER_MISSING | YES | row absent from block ledger | `combinedAbortSignal` + `AsyncLocalStorage` cwd (R8 #19, #20) |
| C-18 | LEDGER_MISSING | YES | row absent from block ledger | Multi-pass JSON repair `_repair_tool_call_arguments` (H1 #17) |
| C-19 | LEDGER_MISSING | YES | row absent from block ledger | `_escape_invalid_chars_in_json_strings` (H1 #16) |
