COMMAND: python compact_v5/_status/scripts/scope_audit.py --block C --strict
EXIT_CODE: 0
=== Block C ===
Expected rows: 19
Ledger rows: 19
SHIPPED: 19  PARTIAL: 0  MISSING: 0  DEFERRED: 0  DROPPED: 0  N/A: 0
Ledger missing: 0  Weak shipped evidence: 0  Unknown disposition: 0
Ship-blocking rows: NONE
Verdict: READY_TO_REVIEW_CLOSE

| row_id | disposition | ship_blocking | evidence_problems | capability |
|---|---|---:|---|---|
| C-1 | SHIPPED | NO |  | SecurityManager class explicit PORT_LOG row (V1 gap #8) |
| C-2 | SHIPPED | NO |  | secretScanner.ts 25 NEW gitleaks patterns + redactSecrets() (R5 A1) |
| C-3 | SHIPPED | NO |  | `findActualString` quote-normalized match (R1 #115) |
| C-4 | SHIPPED | NO |  | `preserveQuoteStyle` (R1 #116) |
| C-5 | SHIPPED | NO |  | UTF-16 LE BOM detection on edit (R1 #121) |
| C-6 | SHIPPED | NO |  | UNC path skip on Windows (NTLM credential leak) (R1 #123) |
| C-7 | SHIPPED | NO |  | `\r\n`→`\n` normalization preserving original on write (R1 #122) |
| C-8 | SHIPPED | NO |  | Staleness check Windows content-fallback for OneDrive/AV mtime bumps (R1 #111) |
| C-9 | SHIPPED | NO |  | `interpretCommandResult` exit-code semantics (R1 #49) |
| C-10 | SHIPPED | NO |  | `getDestructiveCommandWarning` pattern catalog (R1 #50) |
| C-11 | SHIPPED | NO |  | Cd+git compound bare-repo fsmonitor guard (R1 #53) |
| C-12 | SHIPPED | NO |  | Multiple-cd detection (R1 #54) |
| C-13 | SHIPPED | NO |  | Pipe-segment per-segment permission check (R1 #55) |
| C-14 | SHIPPED | NO |  | `extractBashCommentLabel` first-line `# comment` UI label (R1 #48) |
| C-15 | SHIPPED | NO |  | `BINARY_EXTENSIONS` set + `isBinaryContent` 8KB null-byte sniff (R8 #28) |
| C-16 | SHIPPED | NO |  | `escapeXml` / `escapeXmlAttr` (R8 #26) |
| C-17 | SHIPPED | NO |  | `combinedAbortSignal` + `AsyncLocalStorage` cwd (R8 #19, #20) |
| C-18 | SHIPPED | NO |  | Multi-pass JSON repair `_repair_tool_call_arguments` (H1 #17) |
| C-19 | SHIPPED | NO |  | `_escape_invalid_chars_in_json_strings` (H1 #16) |
